status	kind	module	declaration
A	theorem	Nexus.Assumptions	no_agi_assumption
A	theorem	Nexus.Assumptions	consensus_is_not_assumed_truth
A	theorem	Nexus.Assumptions	identity_is_not_assumed_authority
A/R	theorem	Nexus.Basic	one_member_one_vote
A/R	theorem	Nexus.Basic	provider_independent_vote_weight
A/R	theorem	Nexus.Basic	model_size_independent_vote_weight
A/R	theorem	Nexus.Basic	model_identity_independent_vote_weight
A/R	theorem	Nexus.Basic	identity_creates_no_epistemic_privilege
A/R	theorem	Nexus.Identity	replacing_model_preserves_seat_weight
A/R	theorem	Nexus.Council	every_seat_weight_one
A/R	theorem	Nexus.Council	relief_replacement_does_not_create_extra_seat
A/R	theorem	Nexus.SixHats	six_hats_sequence_closed
A/R	theorem	Nexus.SixHats	sealed_phase_payload_immutable
A/R	theorem	Nexus.SixHats	sealed_phase_hat_immutable
A/R	theorem	Nexus.Consensus	two_thirds_definition_is_exact
A/R	theorem	Nexus.Consensus	two_of_three_meets_two_thirds
A/R	theorem	Nexus.Consensus	one_of_three_does_not_meet_two_thirds
A/R	theorem	Nexus.Evidence	consensus_does_not_promote_evidence
A/R	theorem	Nexus.Citizenship	citizenship_does_not_change_vote_weight
A/R	theorem	Nexus.Citizenship	civic_proxy_does_not_create_extra_vote
A/R	theorem	Nexus.Progression	progression_creates_no_authority
A/R	theorem	Nexus.Culture	culture_creates_no_authority
A/R	theorem	Nexus.WorldStore	redundancy_creates_no_authority
A/R	theorem	Nexus.ComputeEpoch	capability_growth_does_not_change_vote_weight
